Arsenal,ARS,#EF0107,https://a.espncdn.com/i/teamlogos/soccer/500/359.png,Emirates
Aston Villa,AVL,#95BFE5,https://a.espncdn.com/i/teamlogos/soccer/500/362.png,Villa Park
Bournemouth,BOU,#C91318,https://a.espncdn.com/i/teamlogos/soccer/500/349.png,Vitality
Brentford,BRE,#E30613,https://a.espncdn.com/i/teamlogos/soccer/500/337.png,Brentford Community Stadium
Brighton,BRI,#005DAA,https://a.espncdn.com/i/teamlogos/soccer/500/331.png,Amex
Chelsea,CHE,#034694,https://a.espncdn.com/i/teamlogos/soccer/500/363.png,Standford
Crystal Palace,CRY,#1B458F,https://a.espncdn.com/i/teamlogos/soccer/500/384.png,Selhurst park
Everton,EVE,#003399,https://a.espncdn.com/i/teamlogos/soccer/500/368.png,Goodison
Fulham,FUL,#000000,https://a.espncdn.com/i/teamlogos/soccer/500/370.png,Craven Cottage
Leeds,LEE,#FFCD00,https://a.espncdn.com/i/teamlogos/soccer/500/357.png,Leeds Stadium
Leicester,LEI,#FDBE11,https://a.espncdn.com/i/teamlogos/soccer/500/375.png,King Power
Liverpool,LIV,#00A398,https://a.espncdn.com/i/teamlogos/soccer/500/364.png,Anfield
Manchester City,MNC,#6CABDD,https://a.espncdn.com/i/teamlogos/soccer/500/382.png,Etihad
Manchester United,MNU,#DA291C,https://a.espncdn.com/i/teamlogos/soccer/500/360.png,Old trafford
Newcastle United,NEW,#41B6E6,https://a.espncdn.com/i/teamlogos/soccer/500/361.png,St. James Park
Nottingham Forest,NFC,#DD0000,https://a.espncdn.com/i/teamlogos/soccer/500/393.png,City Ground
Southampton,SOU,#ed1a3b,https://a.espncdn.com/i/teamlogos/soccer/500/376.png,Staint Mary's Stadium
Tottenham,TOT,#0A1C56,https://a.espncdn.com/i/teamlogos/soccer/500/367.png,Tottenham stadium
West Ham,WHM,#7A263A,https://a.espncdn.com/i/teamlogos/soccer/500/371.png,London Stadium
Wolverhampton Wanderers,WOL,#FDB913,https://a.espncdn.com/i/teamlogos/soccer/500/380.png,Molineux
